name,org,url,id,Label,citations,h_index,study_field
viviana raffa,Karlstad university,https://scholar.google.com/citations?hl=it&user=mbjYy4MAAAAJ,33,"viviana raffa - Karlstad university - ['Energy', 'Exchange optimization']",13,1,"['Energy', 'Exchange optimization']"
nadine roijakkers,Professor of Open Innovation,https://scholar.google.com/citations?hl=it&user=4shrRkAAAAAJ,34,"nadine roijakkers - Professor of Open Innovation - ['Strategic alliances', 'inter-firm networks', 'ecosystems', 'open innovation']",4182,29,"['Strategic alliances', 'inter-firm networks', 'ecosystems', 'open innovation']"
paolo parisen toldin,University of Bologna,https://scholar.google.com/citations?hl=it&user=LiEBxIoAAAAJ,35,paolo parisen toldin - University of Bologna - ['Logic'],58,4,['Logic']
francesco ferrante,Università di Cassino e del Lazio Meridionale,https://scholar.google.com/citations?hl=it&user=O1NGh7UAAAAJ,36,"francesco ferrante - Università di Cassino e del Lazio Meridionale - ['Education economics', 'entrepreneurship economics', 'labour market institutions']",708,14,"['Education economics', 'entrepreneurship economics', 'labour market institutions']"
anastasios noulas,"New York University, Center for Data Science, Moore-Sloan Fellow",https://scholar.google.com/citations?hl=it&user=tnkMDBsAAAAJ,37,"anastasios noulas - New York University, Center for Data Science, Moore-Sloan Fellow - ['Data Science', 'Human Mobility', 'Cities', 'Complex Systems']",5545,28,"['Data Science', 'Human Mobility', 'Cities', 'Complex Systems']"
raffaele bruno,IIT-CNR,https://scholar.google.com/citations?hl=it&user=sjN4vKkAAAAJ,38,"raffaele bruno - IIT-CNR - ['IoT', '5G', 'ICT for sustainability', 'smart mobility']",5797,34,"['IoT', '5G', 'ICT for sustainability', 'smart mobility']"
alessandro saccon,Eindhoven University of Technology,https://scholar.google.com/citations?hl=it&user=9jACRLUAAAAJ,39,"alessandro saccon - Eindhoven University of Technology - ['Robotics', 'Control', 'Impact', 'Optimization', 'Geometric Mechanics']",1404,20,"['Robotics', 'Control', 'Impact', 'Optimization', 'Geometric Mechanics']"
dario bauso,Universita' degli Studi di Palermo,https://scholar.google.com/citations?hl=it&user=jIzjehIAAAAJ,40,"dario bauso - Universita' degli Studi di Palermo - ['control and optimiziation', 'game theory']",2461,26,"['control and optimiziation', 'game theory']"
sascha ossowski,University Rey Juan Carlos,https://scholar.google.com/citations?hl=it&user=GC8xpzgAAAAJ,41,"sascha ossowski - University Rey Juan Carlos - ['Artificial Intelligence', 'Computer Science']",4567,34,"['Artificial Intelligence', 'Computer Science']"
marcello gasparrini,Università Sapienza Roma,https://scholar.google.com/citations?hl=it&user=68qKE8gAAAAJ,42,"marcello gasparrini - Università Sapienza Roma - ['Chirurgia generale', 'chirurgia laparoscopica', 'chirurgia robotica']",827,17,"['Chirurgia generale', 'chirurgia laparoscopica', 'chirurgia robotica']"
simone persiano,"Catastrophe Risk Modeler, UnipolSai Assicurazioni S.p.A.",https://scholar.google.com/citations?hl=it&user=L1BXDzAAAAAJ,43,"simone persiano - Catastrophe Risk Modeler, UnipolSai Assicurazioni S.p.A. - ['Hydrology', 'Flood frequency analysis', 'Geostatistics']",119,6,"['Hydrology', 'Flood frequency analysis', 'Geostatistics']"
sandro etalle,TU Eindhoven,https://scholar.google.com/citations?hl=it&user=pS-2CjYAAAAJ,44,sandro etalle - TU Eindhoven - [],4165,34,[]
peter murray-rust,"Reader in Molecular Informatics, University of Cambridge",https://scholar.google.com/citations?hl=it&user=YUcaeycAAAAJ,45,"peter murray-rust - Reader in Molecular Informatics, University of Cambridge - ['Chemical Informatics', 'Crystallography', 'Open Science']",11014,51,"['Chemical Informatics', 'Crystallography', 'Open Science']"
alessandro marzani,University of Bologna,https://scholar.google.com/citations?hl=it&user=WwtaJ14AAAAJ,46,"alessandro marzani - University of Bologna - ['Ultrasonics', 'Guided waves', 'Metamaterials', 'NDE', 'SHM']",5727,40,"['Ultrasonics', 'Guided waves', 'Metamaterials', 'NDE', 'SHM']"
fabio napolitano,Università della Basilicata,https://scholar.google.com/citations?hl=it&user=tJIJ6nEAAAAJ,47,fabio napolitano - Università della Basilicata - [],7903,50,[]
fabrizio falchi,"Senior Researcher at ISTI-CNR, Pisa",https://scholar.google.com/citations?hl=it&user=4Vr1dSQAAAAJ,49,"fabrizio falchi - Senior Researcher at ISTI-CNR, Pisa - ['Computer Vision', 'Artificial Intelligence', 'Neural Networks', 'Multimedia Information Retrieval']",4330,35,"['Computer Vision', 'Artificial Intelligence', 'Neural Networks', 'Multimedia Information Retrieval']"
igor loi,Università di Bologna,https://scholar.google.com/citations?hl=it&user=QZx62_4AAAAJ,50,igor loi - Università di Bologna - ['IC design'],3580,30,['IC design']
daniele vigo,University of Bologna,https://scholar.google.com/citations?hl=it&user=2kk8d_AAAAAJ,51,"daniele vigo - University of Bologna - ['Operations Research', 'Vehicle Routing', 'Bin Packing', 'Logistics']",25924,67,"['Operations Research', 'Vehicle Routing', 'Bin Packing', 'Logistics']"
michał sajkowski,Poznan University of Technology,https://scholar.google.com/citations?hl=it&user=o1yttckAAAAJ,52,"michał sajkowski - Poznan University of Technology - ['protocol engineering', 'chaos theory']",100,5,"['protocol engineering', 'chaos theory']"
yong wang,Washington State University,https://scholar.google.com/citations?hl=it&user=743sy1MAAAAJ,53,"yong wang - Washington State University - ['catalysis', 'heterogeneous catalysis', 'reaction engineering', 'energy conversion', 'surface chemistry']",42676,97,"['catalysis', 'heterogeneous catalysis', 'reaction engineering', 'energy conversion', 'surface chemistry']"
subhasish mitra,Stanford University,https://scholar.google.com/citations?hl=it&user=SCdhzWoAAAAJ,55,"subhasish mitra - Stanford University - ['Computer Science', 'Computer Engineering', 'Electrical Engineering']",22717,87,"['Computer Science', 'Computer Engineering', 'Electrical Engineering']"
